Week.ending,iliiso.tot
9/21/08,0.002602213
9/28/08,0.001516535
10/5/08,0.001224264
10/12/08,0.000593913
10/19/08,0.000635157
10/26/08,0.000351046
11/2/08,0.000358147
11/9/08,0.000384988
11/16/08,0.000731869
11/23/08,0.000409728
11/30/08,0.000441964
12/7/08,0.000157451
12/14/08,0.000568333
12/21/08,0.000527995
12/28/08,0.000698108
1/4/09,0.001519757
1/11/09,0.002777882
1/18/09,0.004893788
1/25/09,0.005285467
2/1/09,0.009153464
2/8/09,0.014594142
2/15/09,0.013070161
2/22/09,0.014313385
3/1/09,0.010402564
3/8/09,0.007532269
3/15/09,0.005104171
3/22/09,0.002868025
3/29/09,0.002964007
4/5/09,0.00215255
4/12/09,0.001458511
4/19/09,0.001354989
4/26/09,0.001180844
5/3/09,0.001585347
5/10/09,0.001086995
5/17/09,0.001103664
5/24/09,0.001513015
5/31/09,0.002452644
6/7/09,0.001792209
6/14/09,0.003008613
6/21/09,0.004814926
6/28/09,0.006941878
7/5/09,0.00988687
7/12/09,0.014245761
7/19/09,0.016358393
7/26/09,0.018799547
8/2/09,0.018691964
8/9/09,0.020382625
8/16/09,0.017254971
8/23/09,0.027857732
8/30/09,0.028811205
9/6/09,0.03284847
9/13/09,0.044960716
9/20/09,0.062429165
9/27/09,0.071039491
10/4/09,0.057541412
10/11/09,0.029373204
10/18/09,0.015496059
10/25/09,0.008998365
11/1/09,0.006319914
11/8/09,0.003291335
11/15/09,0.002374833
11/22/09,0.003662389
11/29/09,0.006629143
12/6/09,0.005802596
12/13/09,0.004490468
12/20/09,0.005698205
12/27/09,0.004538166
1/3/10,0.003269328
1/10/10,0.005232335
1/17/10,0.006173759
1/24/10,0.004894168
1/31/10,0.003858824
2/7/10,0.004990961
2/14/10,0.005094259
2/21/10,0.003474152
2/28/10,0.003479391
3/7/10,0.005475667
3/14/10,0.006681634
3/21/10,0.008294628
3/28/10,0.008413134
4/4/10,0.005178984
4/11/10,0.004190476
4/18/10,0.003908641
4/25/10,0.003323086
5/2/10,0.004697339
5/9/10,0.003506857
5/16/10,0.004241353
5/23/10,0.003622809
5/30/10,0.003781805
6/6/10,0.002328559
6/13/10,0.002660688
6/20/10,0.002182414
6/27/10,0.002311688
7/4/10,0.002969418
7/11/10,0.004948338
7/18/10,0.005315255
7/25/10,0.006927619
8/1/10,0.009056887
8/8/10,0.010899654
8/15/10,0.011013771
8/22/10,0.011392395
8/29/10,0.017500798
9/5/10,0.016130703
9/12/10,0.019682961
9/19/10,0.020056076
9/26/10,0.01699429
10/3/10,0.014656798
10/10/10,0.009997299
10/17/10,0.008384722
10/24/10,0.005248928
10/31/10,0.003804441
11/7/10,0.002894767
11/14/10,0.000865769
11/21/10,0.001793547
11/28/10,0.001325307
12/5/10,0.001213078
12/12/10,0.000763858
12/19/10,0.000855402
12/26/10,0.00186936
1/2/11,0.002474838
1/9/11,0.004022368
1/16/11,0.008212709
1/23/11,0.01772014
1/30/11,0.022440004
2/6/11,0.015866377
2/13/11,0.016633048
2/20/11,0.017379154
2/27/11,0.011885177
3/6/11,0.006114597
3/13/11,0.004191879
3/20/11,0.001924236
3/27/11,0.002363648
4/3/11,0.002636441
4/10/11,0.001796043
4/17/11,0.002003887
4/24/11,0.002715735
5/1/11,0.000750622
5/8/11,0.000967606
5/15/11,0.001006088
5/22/11,0.000898197
5/29/11,0.000570108
6/5/11,0.000719457
6/12/11,0.000736145
6/19/11,0.000473505
6/26/11,0.000857449
7/3/11,0.000900298
7/10/11,0.000715991
7/17/11,0.001194981
7/24/11,0.001718056
7/31/11,0.001518431
8/7/11,0.001456866
8/14/11,0.001096364
8/21/11,0.001435754
8/28/11,0.001321325
9/4/11,0.002395147
9/11/11,0.002475299
9/18/11,0.002766714
9/25/11,0.003528473
10/2/11,0.002056877
10/9/11,0.003402216
10/16/11,0.003328234
10/23/11,0.002643514
10/30/11,0.002615521
11/6/11,0.001939804
11/13/11,0.002355562
11/20/11,0.002191765
11/27/11,0.002042733
12/4/11,0.00305494
12/11/11,0.002489005
12/18/11,0.003369173
12/25/11,0.003181751
1/1/12,0.003634255
1/8/12,0.003238777
1/15/12,0.005677589
1/22/12,0.006609791
1/29/12,0.008365424
2/5/12,0.013546048
2/12/12,0.012837586
2/19/12,0.017005637
2/26/12,0.0142796
3/4/12,0.01139976
3/11/12,0.011257444
3/18/12,0.012694893
3/25/12,0.012729061
4/1/12,0.009511486
4/8/12,0.008421265
4/15/12,0.006913568
4/22/12,0.007774717
4/29/12,0.013084761
5/6/12,0.011223199
5/13/12,0.016638242
5/20/12,0.021806559
5/27/12,0.02648484
6/3/12,0.020011834
6/10/12,0.014651846
6/17/12,0.01006938
6/24/12,0.009205244
7/1/12,0.004699763
7/8/12,0.003951628
7/15/12,0.004033101
7/22/12,0.00182025
7/29/12,0.0021309
8/5/12,0.001355243
8/12/12,0.000715763
8/19/12,0.000975173
8/26/12,0.00110639
9/2/12,0.000729001
9/9/12,0.000447868
9/16/12,0.000521113
9/23/12,0.001039075
9/30/12,0.000404204
10/7/12,0.000385831
10/14/12,0.000441702
10/21/12,0.000301987
10/28/12,0.000317684
11/4/12,0.000166846
11/11/12,0.000225554
11/18/12,0.000242299
11/25/12,0.000256673
12/2/12,0.000408078
12/9/12,0.001074539
12/16/12,0.001104574
12/23/12,0.001549427
12/30/12,0.001180091
1/6/13,0.001283295
1/13/13,0.001768571
1/20/13,0.00174131
1/27/13,0.002506731
2/3/13,0.002664907
2/10/13,0.001540466
2/17/13,0.001583762
2/24/13,0.003770787
3/3/13,0.00432406
3/10/13,0.004852685
3/17/13,0.004093309
3/24/13,0.004111011
3/31/13,0.00472959
4/7/13,0.004056024
4/14/13,0.002633563
4/21/13,0.003510147
4/28/13,0.001508031
5/5/13,0.001324363
5/12/13,0.001320898
5/19/13,0.001449321
5/26/13,0.001355715
6/2/13,0.000994402
6/9/13,0.001238141
6/16/13,0.001237089
6/23/13,0.001812479
6/30/13,0.001721724
7/7/13,0.002608001
7/14/13,0.002105022
7/21/13,0.002714957
7/28/13,0.002493929
8/4/13,0.003284627
8/11/13,0.003542111
8/18/13,0.003828591
8/25/13,0.00345215
9/1/13,0.003094856
9/8/13,0.003856587
9/15/13,0.004371018
9/22/13,0.00581513
9/29/13,0.003051912
10/6/13,0.004485561
10/13/13,0.003586961
10/20/13,0.001704658
10/27/13,0.00096784
11/3/13,0.001305816
11/10/13,0.000989012
11/17/13,0.000959139
11/24/13,0.000787682
12/1/13,0.000746195
12/8/13,0.000829864
12/15/13,0.001364499
12/22/13,0.002273945
12/29/13,0.002778079
1/5/14,0.005573013
1/12/14,0.008698259
1/19/14,0.011396316
1/26/14,0.01174608
2/2/14,0.012111099
2/9/14,0.015119494
2/16/14,0.010342736
2/23/14,0.014820702
3/2/14,0.014625954
3/9/14,0.009702901
3/16/14,0.011091821
3/23/14,0.00944246
3/30/14,0.007755942
4/6/14,0.005686185
4/13/14,0.004914538
4/20/14,0.003945604
4/27/14,0.003870266
5/4/14,0.002618513
5/11/14,0.002032695
5/18/14,0.001440281
5/25/14,0.002252282
6/1/14,0.003389617
6/8/14,0.005565197
6/15/14,0.005675126
6/22/14,0.0053979
6/29/14,0.004090027
7/6/14,0.003252491
7/13/14,0.003895321
7/20/14,0.003662682
7/27/14,0.002191725
8/3/14,0.001688356
8/10/14,0.000883001
8/17/14,0.000374435
8/24/14,0.001030405
8/31/14,0.001102564
9/7/14,0.00075846
9/14/14,0.001051732
9/21/14,0.000867624
9/28/14,0.000323853
10/5/14,0.000553556
10/12/14,0.000192515
10/19/14,0.00032334
10/26/14,0.000235058
11/2/14,0.000194495
11/9/14,0.000105143
11/16/14,6.80E-05
11/23/14,0.000391342
11/30/14,0.000393224
12/7/14,0.000608704
12/14/14,0.001234708
12/21/14,0.0017126
12/28/14,0.00293988
1/4/15,0.00601059
1/11/15,0.011315309
1/18/15,0.016984228
1/25/15,0.024977567
2/1/15,0.023582456
2/8/15,0.024544293
2/15/15,0.018706409
2/22/15,0.005314399
3/1/15,0.009858019
3/8/15,0.01036772
3/15/15,0.006917526
3/22/15,0.00523743
3/29/15,0.005816703
4/5/15,0.00431948
4/12/15,0.004453478
4/19/15,0.003337282
